<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20201102,09:30:00,299.98983169999997,300.27545860000004,299.8674202,300.27545860000004,12
20201102,09:31:00,300.18875039999995,300.4437744,299.7858125,299.7858125,12
20201102,09:32:00,299.8011139,299.9337264,299.7603101,299.898023,12
20201102,09:33:00,299.97963070000003,300.7753056,299.97963070000003,300.36726719999996,12
20201102,09:34:00,300.280559,300.4233725,299.9592288,299.9592288,12
20201102,09:35:00,299.8929226,300.1785494,299.8929226,300.1785494,12
20201102,09:36:00,300.0510374,300.1428461,299.780712,299.8011139,12
20201102,09:37:00,299.7654106,299.7654106,299.5205875,299.5664918,12
20201102,09:38:00,299.53078849999997,299.5919942,299.3573722,299.3573722,12
20201102,09:39:00,299.4491808,299.4491808,299.1482525,299.25026210000004,12
20201102,09:40:00,299.2094582,299.2094582,298.64840539999994,298.64840539999994,12
20201102,09:41:00,298.7198122,298.8422237,298.6841088,298.8167213,12
20201102,09:42:00,298.8677261,298.8677261,298.4443862,298.4443862,12
20201102,09:43:00,298.4290848,298.4443862,297.9904435,297.9904435,12
20201102,09:44:00,297.8986349,297.9547402,297.7966253,297.9088358,12
20201102,09:45:00,297.85783100000003,298.123056,297.8272282,298.123056,12
20201102,09:46:00,298.2148646,298.5974006,298.14855839999996,298.5974006,12
20201102,09:47:00,298.73511360000003,299.0819462,298.7198122,299.0819462,12
20201102,09:48:00,299.30636739999994,299.5409894,299.260463,299.260463,12
20201102,09:49:00,299.3573722,299.62769760000003,299.3573722,299.62769760000003,12
20201102,09:50:00,299.525688,299.54608989999997,299.387975,299.387975,12
20201102,09:51:00,299.3930755,299.54608989999997,299.2247597,299.525688,12
20201102,09:52:00,299.62259710000006,300.173449,299.62259710000006,300.173449,12
20201102,09:53:00,300.1428461,300.1836499,299.81131489999996,299.8368173,12
20201102,09:54:00,299.8521187,299.8521187,299.4899846,299.4899846,12
20201102,09:55:00,299.525688,299.6532,299.40837700000003,299.40837700000003,12
20201102,09:56:00,299.4695827,299.7144058,299.4695827,299.5613914,12
20201102,09:57:00,299.6378986,299.8521187,299.6378986,299.8521187,12
20201102,09:58:00,299.9694298,300.3366643,299.9694298,300.3060614,12
20201102,09:59:00,300.27545860000004,300.3774682,300.1836499,300.2142528,12
20201102,10:00:00,300.76510460000003,300.9844253,300.76510460000003,300.8977171,12
20201102,10:01:00,300.938521,301.2292483,300.938521,301.2292483,12
20201102,10:02:00,301.1884445,301.1884445,300.58148739999996,300.6069898,12
20201102,10:03:00,300.58148739999996,300.6273917,300.44887489999996,300.6273917,12
20201102,10:04:00,300.663095,300.9997267,300.663095,300.9997267,12
20201102,10:05:00,301.0303296,301.1170378,300.9691238,301.1170378,12
20201102,10:06:00,301.10173629999997,301.1629421,300.9997267,300.9997267,12
20201102,10:07:00,301.03543010000004,301.321057,301.03543010000004,301.1374397,12
20201102,10:08:00,301.14764060000005,301.14764060000005,300.938521,300.9436214,12
20201102,10:09:00,300.9436214,301.17314300000004,300.938521,301.17314300000004,12
20201102,10:10:00,301.17314300000004,301.2598512,301.08133439999995,301.19354500000003,12
20201102,10:11:00,301.183344,301.28025310000004,300.9997267,300.9997267,12
20201102,10:12:00,301.0864349,301.2292483,301.0762339,301.1272387,12
20201102,10:13:00,301.10683680000005,301.10683680000005,300.78040610000005,300.811009,12
20201102,10:14:00,300.8620138,300.8620138,300.7396022,300.8059085,12
20201102,10:15:00,300.8773152,300.938521,300.5304826,300.5304826,12
20201102,10:16:00,300.58148739999996,300.91301860000004,300.58148739999996,300.91301860000004,12
20201102,10:17:00,300.938521,301.23944930000005,300.92832000000004,301.23944930000005,12
20201102,10:18:00,301.28025310000004,301.6729901,301.28025310000004,301.6729901,12
20201102,10:19:00,301.7545978,301.7903011,301.6066838,301.7801002,12
20201102,10:20:00,301.7239949,301.7698992,301.3771622,301.4077651,12
20201102,10:21:00,301.3873632,301.5811814,301.321057,301.555679,12
20201102,10:22:00,301.65258819999997,301.8005021,301.6474877,301.703593,12
20201102,10:23:00,301.703593,301.703593,301.48427230000004,301.5148752,12
20201102,10:24:00,301.4791718,301.576081,301.4791718,301.56077949999997,12
20201102,10:25:00,301.576081,301.6117843,301.33125789999997,301.33125789999997,12
20201102,10:26:00,301.33125789999997,301.4638704,301.33125789999997,301.4638704,12
20201102,10:27:00,301.5811814,301.810703,301.5811814,301.7596982,12
20201102,10:28:00,301.7545978,301.8413059,301.71889439999995,301.7290954,12
20201102,10:29:00,301.7137939,301.7137939,301.53527710000003,301.53527710000003,12
20201102,10:30:00,301.5199757,301.5199757,301.23944930000005,301.2445498,12
20201102,10:31:00,301.21904739999997,301.21904739999997,301.0762339,301.14764060000005,12
20201102,10:32:00,301.15784160000004,301.29045410000003,301.06093250000004,301.2853536,12
20201102,10:33:00,301.28025310000004,301.2955546,301.15784160000004,301.1629421,12
