DATE|TITLE|DESCRIPTION|CHANGE|LEVEL
2021-03-26 18:34:00|Putin tells how he fell off horse|Russia's President Vladimir Putin has in the past presented himself sitting proud, bare-chested on a horse, but on Friday he admitted to taking a fall.|0.0006097870826158314|2.0
2021-03-17 13:51:00|Biden says Major, his German Shepherd, is out of the dog house|President Joe Biden says his rescue dog, a German Shepherd named Major, is being trained after an incident last week but has not been banished from the White House, adding the pet is still adjusting to life there surrounded by strangers.|-0.0007793831411163632|-2.0
2021-03-11 20:38:00|NHS workers, Osaka and Westwood among women honoured at Glamour Awards|Frontline workers for Britain's National Health Service, tennis player Naomi Osaka and designer Vivienne Westwood were among those honoured at the Glamour Women of the Year Awards on Thursday, in a virtual event which paid tribute to those who have sought to incite change.|0.0003200231039963697|1.0
2021-03-08 16:48:00|Prince Harry, Meghan interview brings bumper U.S. TV audience|Some 17.1 million Americans watched Oprah Winfrey's bombshell television interview with Prince Harry and his wife Meghan, broadcaster CBS said on Monday.|-0.0005977036216283649|-2.0
2021-03-08 14:49:00|U.S. Supreme Court dumps last of Trump's election appeals|The U.S. Supreme Court on Monday disposed of the last of three cases brought to the justices by former President Donald Trump challenging his election loss, bringing a muted end to his futile quest in the courts to hold onto power.|0.002801742470460944|5.0
2021-02-19 16:40:00|UK's Prince Philip set to remain in hospital until early next week|Britain's Duke of Edinburgh, Prince Philip, is likely to remain in hospital until next week, a royal source said on Friday, adding that doctors were acting out of an abundance of caution and the duke remains in good spirits.|-5.149638696855252e-05|0.0
2021-02-18 17:34:00|Venezuela's largest impoverished district marks 400th anniversary with kite festival|In Venezuela's sprawling impoverished Petare neighborhood on the east end of Caracas, dozens of children and residents flew kites to celebrate the 400th anniversary of the founding of what was once a small village outside the capital.|0.00026816275664254263|1.0
2021-02-03 16:52:00|West concerned by closer Russia-China ties, top NATO general says|The United States and its Western allies are increasingly concerned about growing cooperation between Russia and China in areas of common interest, NATO's top general said on Wednesday.|0.00038103310587755956|1.0
